Latitude (decimal degrees):	31.668
Longitude (decimal degrees):	-106.288
Elevation (m):	1112
Radiation database:	PVGIS-ERA5


Slope: 54 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	0.4
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190516:0930,0.0,0.0,0.0,0.0,0.0,21.24,5.03,0.0
20190516:1030,0.0,0.0,0.0,0.0,0.0,20.57,5.03,0.0
20190516:1130,0.0,0.0,0.0,0.0,0.0,19.99,5.03,0.0
20190516:1230,104.23,268.23,48.62,1.57,3.53,19.47,4.69,0.0
20190516:1330,218.56,531.34,129.27,8.91,15.76,19.63,4.41,0.0
20190516:1430,277.72,698.86,160.55,17.84,28.34,22.17,4.55,0.0
20190516:1530,306.84,784.68,171.75,26.45,41.09,24.94,5.93,0.0
20190516:1630,304.92,769.21,190.7,33.46,53.77,27.4,5.66,0.0
20190516:1730,288.79,749.33,167.17,39.0,65.9,29.21,4.55,0.0
20190516:1830,263.72,670.74,163.82,41.75,75.57,30.74,4.28,0.0
20190516:1930,260.48,665.01,164.73,41.73,75.89,32.4,4.41,0.0
20190516:2030,283.2,739.41,178.58,39.41,66.47,33.47,4.62,0.0
20190516:2130,291.18,727.45,224.46,33.67,54.4,34.13,5.17,0.0
20190516:2230,291.28,785.49,168.84,26.71,41.73,34.26,5.45,0.0
20190516:2330,252.61,623.8,198.51,17.91,28.98,33.94,5.17,0.0
20190517:0030,211.78,549.94,135.79,9.56,16.49,33.52,4.62,0.0
20190517:0130,117.22,318.66,61.1,1.99,4.26,33.09,3.79,0.0
20190517:0230,0.0,0.0,0.0,0.0,0.0,31.88,2.28,0.0
20190517:0330,0.0,0.0,0.0,0.0,0.0,29.8,5.24,0.0
20190517:0430,0.0,0.0,0.0,0.0,0.0,27.9,7.45,0.0
20190517:0530,0.0,0.0,0.0,0.0,0.0,26.43,6.62,0.0
20190517:0630,0.0,0.0,0.0,0.0,0.0,25.09,5.93,0.0
20190517:0730,0.0,0.0,0.0,0.0,0.0,24.19,5.52,0.0
20190517:0830,0.0,0.0,0.0,0.0,0.0,22.87,5.24,0.0
20190517:0930,0.0,0.0,0.0,0.0,0.0,21.69,4.97,0.0
20190517:1030,0.0,0.0,0.0,0.0,0.0,20.45,4.55,0.0
20190517:1130,0.0,0.0,0.0,0.0,0.0,19.22,4.07,0.0
20190517:1230,103.16,261.93,50.87,1.62,3.65,18.01,3.52,0.0
20190517:1330,217.95,519.71,139.85,9.08,15.86,17.54,2.97,0.0
20190517:1430,287.84,740.54,151.17,18.36,28.44,19.68,3.52,0.0
20190517:1530,323.9,846.26,145.35,27.24,41.18,21.42,6.41,0.0
20190517:1630,329.05,874.16,128.55,34.81,53.87,22.87,7.45,0.0
20190517:1730,310.21,822.62,116.81,40.15,66.02,24.39,7.79,0.0
20190517:1830,282.28,740.82,107.15,42.96,75.77,25.81,8.34,0.0
20190517:1930,279.14,738.66,106.88,43.09,76.1,27.83,8.62,0.0
20190517:2030,304.95,821.5,116.5,40.49,66.61,28.73,8.83,0.0
20190517:2130,322.98,880.94,126.93,35.37,54.51,29.4,8.97,0.0
20190517:2230,322.22,876.89,135.28,28.09,41.83,29.63,9.1,0.0
20190517:2330,294.94,775.49,149.26,19.27,29.08,29.41,9.03,0.0
20190518:0030,216.26,529.58,140.36,9.52,16.61,28.76,8.69,0.0
20190518:0130,100.66,256.16,59.91,1.92,4.38,27.74,8.28,0.0
20190518:0230,0.0,0.0,0.0,0.0,0.0,26.4,6.55,0.0
20190518:0330,0.0,0.0,0.0,0.0,0.0,24.99,6.0,0.0
20190518:0430,0.0,0.0,0.0,0.0,0.0,23.82,5.93,0.0
20190518:0530,0.0,0.0,0.0,0.0,0.0,22.74,6.0,0.0
20190518:0630,0.0,0.0,0.0,0.0,0.0,21.75,6.28,0.0
20190518:0730,0.0,0.0,0.0,0.0,0.0,20.63,5.45,0.0
20190518:0830,0.0,0.0,0.0,0.0,0.0,19.77,5.59,0.0
20190518:0930,0.0,0.0,0.0,0.0,0.0,18.77,5.1,0.0
20190518:1030,0.0,0.0,0.0,0.0,0.0,17.5,4.21,0.0
20190518:1130,0.0,0.0,0.0,0.0,0.0,16.15,3.38,0.0
20190518:1230,109.02,274.98,50.61,1.66,3.76,14.93,3.17,0.0
20190518:1330,232.0,565.82,129.58,9.33,15.96,14.82,2.9,0.0
20190518:1430,300.68,783.54,140.51,18.9,28.53,17.14,3.45,0.0
20190518:1530,326.39,856.28,144.34,27.51,41.27,19.36,5.1,0.0
20190518:1630,335.53,894.89,127.2,35.52,53.97,20.87,6.34,0.0
20190518:1730,318.3,840.32,117.8,41.04,66.15,22.14,7.24,0.0
20190518:1830,289.24,754.21,107.58,43.83,75.96,23.36,7.79,0.0
20190518:1930,287.72,752.5,107.3,44.0,76.3,24.52,8.28,0.0
20190518:2030,314.48,837.7,117.39,41.33,66.74,25.5,8.48,0.0
20190518:2130,332.5,897.05,129.07,36.07,54.62,26.21,8.41,0.0
20190518:2230,330.95,894.65,137.19,28.67,41.93,26.77,8.21,0.0
20190518:2330,305.13,811.19,142.16,19.79,29.19,26.98,7.79,0.0
20190519:0030,243.56,620.72,135.46,10.35,16.72,26.96,7.17,0.0
20190519:0130,132.41,342.05,68.59,2.2,4.51,26.44,6.34,0.0
20190519:0230,0.0,0.0,0.0,0.0,0.0,24.91,4.07,0.0
20190519:0330,0.0,0.0,0.0,0.0,0.0,23.11,2.83,0.0
20190519:0430,0.0,0.0,0.0,0.0,0.0,21.08,2.28,0.0
20190519:0530,0.0,0.0,0.0,0.0,0.0,19.84,1.59,0.0
20190519:0630,0.0,0.0,0.0,0.0,0.0,19.42,1.45,0.0
20190519:0730,0.0,0.0,0.0,0.0,0.0,17.61,1.72,0.0
20190519:0830,0.0,0.0,0.0,0.0,0.0,16.2,2.07,0.0
20190519:0930,0.0,0.0,0.0,0.0,0.0,15.12,2.28,0.0
20190519:1030,0.0,0.0,0.0,0.0,0.0,14.91,2.0,0.0
20190519:1130,0.0,0.0,0.0,0.0,0.0,14.12,1.86,0.0
20190519:1230,115.53,289.54,54.23,1.76,3.87,13.09,1.79,0.0
20190519:1330,206.64,459.92,152.92,8.94,16.06,12.11,1.93,0.0
20190519:1430,274.82,681.47,180.7,18.21,28.62,16.12,1.17,0.0
20190519:1530,303.23,785.99,188.18,27.13,41.36,20.22,1.66,0.0
20190519:1630,305.64,799.16,185.83,34.44,54.06,22.78,2.0,0.0
20190519:1730,293.83,766.56,173.75,40.24,66.26,24.46,2.21,0.0
20190519:1830,272.25,739.81,116.96,43.66,76.15,26.02,2.69,0.0
20190519:1930,267.02,682.22,159.92,42.87,76.5,27.56,3.1,0.0
20190519:2030,287.59,703.31,219.58,39.82,66.88,28.82,3.52,0.0
20190519:2130,301.49,771.21,206.87,34.65,54.72,29.82,4.0,0.0
20190519:2230,305.58,833.97,162.75,27.93,42.03,30.54,4.41,0.0
20190519:2330,286.52,787.04,143.39,19.44,29.29,30.86,4.76,0.0
20190520:0030,230.16,604.81,134.25,10.22,16.83,30.8,4.48,0.0
20190520:0130,121.49,321.89,66.75,2.17,4.63,30.32,3.45,0.0
20190520:0230,0.0,0.0,0.0,0.0,0.0,29.23,1.03,0.0
20190520:0330,0.0,0.0,0.0,0.0,0.0,28.17,0.97,0.0
20190520:0430,0.0,0.0,0.0,0.0,0.0,25.99,3.72,0.0
20190520:0530,0.0,0.0,0.0,0.0,0.0,25.09,4.9,0.0
20190520:0630,0.0,0.0,0.0,0.0,0.0,24.34,5.24,0.0
20190520:0730,0.0,0.0,0.0,0.0,0.0,23.7,4.69,0.0
20190520:0830,0.0,0.0,0.0,0.0,0.0,22.82,4.55,0.0
20190520:0930,0.0,0.0,0.0,0.0,0.0,21.94,4.76,0.0
20190520:1030,0.0,0.0,0.0,0.0,0.0,21.09,5.1,0.0
20190520:1130,0.0,0.0,0.0,0.0,0.0,20.22,4.76,0.0
20190520:1230,68.17,171.98,41.06,1.44,3.97,19.21,4.14,0.0
20190520:1330,218.6,536.02,126.09,9.07,16.15,18.66,3.45,0.0
20190520:1430,231.62,471.92,234.67,16.53,28.7,19.7,3.24,0.0
20190520:1530,225.9,354.86,326.07,22.29,41.44,21.15,5.1,0.0
20190520:1630,280.87,555.04,299.98,30.91,54.14,22.27,5.79,0.0
20190520:1730,280.01,534.84,318.72,36.66,66.37,23.58,5.93,0.0
20190520:1830,229.92,260.83,433.35,34.16,76.33,24.77,6.97,0.0
20190520:1930,239.74,353.29,370.61,35.78,76.69,25.69,7.66,0.0
20190520:2030,280.16,549.19,306.29,37.04,67.01,26.58,8.14,0.0
20190520:2130,320.92,827.46,159.6,34.9,54.83,27.76,10.14,0.0
20190520:2230,275.46,621.2,220.11,24.51,42.13,27.72,11.1,0.0
20190520:2330,223.75,498.15,179.13,15.5,29.39,26.98,11.72,0.0
20190521:0030,164.43,387.45,109.53,7.64,16.94,26.27,12.34,0.0
20190521:0130,122.66,302.29,66.44,2.17,4.75,21.0,10.21,0.0
20190521:0230,0.0,0.0,0.0,0.0,0.0,16.64,9.72,0.0
20190521:0330,0.0,0.0,0.0,0.0,0.0,16.12,7.86,0.0
20190521:0430,0.0,0.0,0.0,0.0,0.0,15.91,7.72,0.0
20190521:0530,0.0,0.0,0.0,0.0,0.0,15.25,7.86,0.0
20190521:0630,0.0,0.0,0.0,0.0,0.0,14.13,7.72,0.0
20190521:0730,0.0,0.0,0.0,0.0,0.0,12.86,5.66,0.0
20190521:0830,0.0,0.0,0.0,0.0,0.0,12.26,5.52,0.0
20190521:0930,0.0,0.0,0.0,0.0,0.0,11.72,5.31,0.0
20190521:1030,0.0,0.0,0.0,0.0,0.0,11.16,5.38,0.0
20190521:1130,0.0,0.0,0.0,0.0,0.0,10.55,5.24,0.0
20190521:1230,128.29,312.21,58.05,1.89,4.07,9.87,4.76,0.0
20190521:1330,252.19,600.27,133.03,9.86,16.23,10.03,4.21,0.0
20190521:1430,316.37,799.57,141.49,19.34,28.78,11.93,4.34,0.0
20190521:1530,344.66,890.17,137.16,28.3,41.51,14.1,5.72,0.0
20190521:1630,345.1,897.82,128.28,35.82,54.22,16.02,6.48,0.0
20190521:1730,324.25,839.8,117.37,41.23,66.48,17.9,7.03,0.0
20190521:1830,291.72,743.33,111.09,43.85,76.5,19.75,7.59,0.0
20190521:1930,287.98,740.1,108.18,43.86,76.88,21.37,7.86,0.0
20190521:2030,314.85,827.81,116.29,41.13,67.14,22.91,8.28,0.0
20190521:2130,333.26,892.49,127.18,36.04,54.94,24.7,8.48,0.0
20190521:2230,332.98,896.38,136.56,28.87,42.23,26.3,8.69,0.0
20190521:2330,309.04,817.4,142.14,20.07,29.49,27.05,9.17,0.0
20190522:0030,248.39,629.2,136.01,10.61,17.04,27.0,9.17,0.0
20190522:0130,137.0,348.6,73.65,2.38,4.87,26.42,8.48,0.0
20190522:0230,0.0,0.0,0.0,0.0,0.0,25.0,6.62,0.0
20190522:0330,0.0,0.0,0.0,0.0,0.0,23.73,6.34,0.0
20190522:0430,0.0,0.0,0.0,0.0,0.0,22.7,6.41,0.0
20190522:0530,0.0,0.0,0.0,0.0,0.0,21.64,6.21,0.0
20190522:0630,0.0,0.0,0.0,0.0,0.0,20.46,5.66,0.0
20190522:0730,0.0,0.0,0.0,0.0,0.0,19.56,5.38,0.0
20190522:0830,0.0,0.0,0.0,0.0,0.0,18.38,4.62,0.0
20190522:0930,0.0,0.0,0.0,0.0,0.0,17.12,3.66,0.0
20190522:1030,0.0,0.0,0.0,0.0,0.0,15.63,2.83,0.0
20190522:1130,0.0,0.0,0.0,0.0,0.0,14.1,2.41,0.0
20190522:1230,121.7,304.37,56.69,1.88,4.17,13.0,2.0,0.0
20190522:1330,236.46,586.63,129.22,9.69,16.31,13.38,1.59,0.0
20190522:1430,291.03,783.07,138.4,19.0,28.85,16.59,1.24,0.0
20190522:1530,320.36,874.0,135.05,27.86,41.58,19.21,2.76,0.0
20190522:1630,323.95,884.42,127.13,35.37,54.3,21.11,3.72,0.0
20190522:1730,306.01,829.13,116.74,40.81,66.57,23.36,4.41,0.0
20190522:1830,277.22,742.62,106.22,43.72,76.66,25.54,4.97,0.0
20190522:1930,274.06,739.95,105.87,43.89,77.07,29.57,6.62,0.0
20190522:2030,300.93,829.82,116.25,41.31,67.26,31.03,7.03,0.0
20190522:2130,319.14,893.65,127.33,36.15,55.04,32.26,7.31,0.0
20190522:2230,318.97,893.28,136.31,28.83,42.33,33.07,7.59,0.0
20190522:2330,295.97,812.42,141.46,20.02,29.59,33.34,7.86,0.0
20190523:0030,238.74,625.96,135.44,10.63,17.15,33.02,7.86,0.0
20190523:0130,132.63,347.2,74.48,2.42,4.99,32.01,7.03,0.0
20190523:0230,0.0,0.0,0.0,0.0,0.0,29.9,5.31,0.0
20190523:0330,0.0,0.0,0.0,0.0,0.0,27.59,4.83,0.0
20190523:0430,0.0,0.0,0.0,0.0,0.0,25.56,4.76,0.0
20190523:0530,0.0,0.0,0.0,0.0,0.0,23.85,4.83,0.0
20190523:0630,0.0,0.0,0.0,0.0,0.0,22.37,4.83,0.0
20190523:0730,0.0,0.0,0.0,0.0,0.0,21.28,3.45,0.0
20190523:0830,0.0,0.0,0.0,0.0,0.0,19.34,2.0,0.0
20190523:0930,0.0,0.0,0.0,0.0,0.0,20.85,0.76,0.0
20190523:1030,0.0,0.0,0.0,0.0,0.0,20.09,1.17,0.0
20190523:1130,0.0,0.0,0.0,0.0,0.0,18.11,1.31,0.0
20190523:1230,115.54,296.62,56.06,1.88,4.26,17.6,1.1,0.0
20190523:1330,225.0,574.59,127.36,9.57,16.39,16.89,0.62,0.0
20190523:1430,278.57,769.09,137.68,18.77,28.92,18.61,0.34,0.0
20190523:1530,307.18,859.54,134.47,27.5,41.64,21.59,1.72,0.0
20190523:1630,314.52,869.21,126.3,34.86,54.37,23.23,3.31,0.0
20190523:1730,298.37,815.62,114.93,40.21,66.67,24.55,3.93,0.0
20190523:1830,272.37,730.46,106.58,43.22,76.82,25.72,4.48,0.0
20190523:1930,269.8,726.0,104.71,43.23,77.25,29.13,6.41,0.0
20190523:2030,297.24,812.89,115.52,40.62,67.39,29.26,6.41,0.0
20190523:2130,315.48,871.65,126.0,35.4,55.14,29.19,6.41,0.0
20190523:2230,314.82,868.62,134.49,28.18,42.43,29.02,6.14,0.0
20190523:2330,290.24,788.55,138.69,19.56,29.69,28.91,5.45,0.0
20190524:0030,233.27,605.9,131.41,10.39,17.26,28.71,5.17,0.0
20190524:0130,130.14,334.91,72.5,2.4,5.1,27.89,5.59,0.0
20190524:0230,0.0,0.0,0.0,0.0,0.0,26.13,5.17,0.0
20190524:0330,0.0,0.0,0.0,0.0,0.0,24.44,4.41,0.0
20190524:0430,0.0,0.0,0.0,0.0,0.0,22.89,3.38,0.0
20190524:0530,0.0,0.0,0.0,0.0,0.0,21.21,2.83,0.0
20190524:0630,0.0,0.0,0.0,0.0,0.0,19.34,2.34,0.0
